series_id,match_id,game_number,season,split,regional,stage,round,team,player_name,unique_id,best_of,source_file
653d85a9eac15c2217ffd9b9a2356321,20220506-181610-2021-22-Spring-Regional Event 1-Double Elim-UQF-G2,2,2021-22,Spring,Regional Event 1,Double Elim,UQF,DIGITAL DEVILS,EliakimZA,SSA-P-10019,5,2021-22 Season Database - 2021-22 Season (1).csv
653d85a9eac15c2217ffd9b9a2356321,20220506-181610-2021-22-Spring-Regional Event 1-Double Elim-UQF-G2,2,2021-22,Spring,Regional Event 1,Double Elim,UQF,DIGITAL DEVILS,Yujn.,SSA-P-10065,5,2021-22 Season Database - 2021-22 Season (1).csv
653d85a9eac15c2217ffd9b9a2356321,20220506-181610-2021-22-Spring-Regional Event 1-Double Elim-UQF-G2,2,2021-22,Spring,Regional Event 1,Double Elim,UQF,ICE ESPORTS,5bs,SSA-P-10067,5,2021-22 Season Database - 2021-22 Season (1).csv
653d85a9eac15c2217ffd9b9a2356321,20220506-181610-2021-22-Spring-Regional Event 1-Double Elim-UQF-G2,2,2021-22,Spring,Regional Event 1,Double Elim,UQF,ICE ESPORTS,boy974s,SSA-P-10068,5,2021-22 Season Database - 2021-22 Season (1).csv
653d85a9eac15c2217ffd9b9a2356321,20220506-181610-2021-22-Spring-Regional Event 1-Double Elim-UQF-G2,2,2021-22,Spring,Regional Event 1,Double Elim,UQF,ICE ESPORTS,Wiiilooo,SSA-P-10069,5,2021-22 Season Database - 2021-22 Season (1).csv
653d85a9eac15c2217ffd9b9a2356321,20220506-182408-2021-22-Spring-Regional Event 1-Double Elim-UQF-G3,3,2021-22,Spring,Regional Event 1,Double Elim,UQF,DIGITAL DEVILS,Auriginal,SSA-P-10003,5,2021-22 Season Database - 2021-22 Season (1).csv
653d85a9eac15c2217ffd9b9a2356321,20220506-182408-2021-22-Spring-Regional Event 1-Double Elim-UQF-G3,3,2021-22,Spring,Regional Event 1,Double Elim,UQF,DIGITAL DEVILS,EliakimZA,SSA-P-10019,5,2021-22 Season Database - 2021-22 Season (1).csv
653d85a9eac15c2217ffd9b9a2356321,20220506-182408-2021-22-Spring-Regional Event 1-Double Elim-UQF-G3,3,2021-22,Spring,Regional Event 1,Double Elim,UQF,DIGITAL DEVILS,Yujn.,SSA-P-10065,5,2021-22 Season Database - 2021-22 Season (1).csv
653d85a9eac15c2217ffd9b9a2356321,20220506-182408-2021-22-Spring-Regional Event 1-Double Elim-UQF-G3,3,2021-22,Spring,Regional Event 1,Double Elim,UQF,ICE ESPORTS,5bs,SSA-P-10067,5,2021-22 Season Database - 2021-22 Season (1).csv
653d85a9eac15c2217ffd9b9a2356321,20220506-182408-2021-22-Spring-Regional Event 1-Double Elim-UQF-G3,3,2021-22,Spring,Regional Event 1,Double Elim,UQF,ICE ESPORTS,boy974s,SSA-P-10068,5,2021-22 Season Database - 2021-22 Season (1).csv
653d85a9eac15c2217ffd9b9a2356321,20220506-182408-2021-22-Spring-Regional Event 1-Double Elim-UQF-G3,3,2021-22,Spring,Regional Event 1,Double Elim,UQF,ICE ESPORTS,Wiiilooo,SSA-P-10069,5,2021-22 Season Database - 2021-22 Season (1).csv
6854c8abbf732206934185f4b5aec2ea,20211126-180537-2021-22-Fall -Regional Event 3-Swiss-2-G2,2,2021-22,Fall,Regional Event 3,Swiss,2,AUFBAU,grape,SSA-P-10023,5,2021-22 Season Database - 2021-22 Season (1).csv
6854c8abbf732206934185f4b5aec2ea,20211126-180537-2021-22-Fall -Regional Event 3-Swiss-2-G2,2,2021-22,Fall,Regional Event 3,Swiss,2,AUFBAU,Jerome in da bath,SSA-P-10026,5,2021-22 Season Database - 2021-22 Season (1).csv
6854c8abbf732206934185f4b5aec2ea,20211126-180537-2021-22-Fall -Regional Event 3-Swiss-2-G2,2,2021-22,Fall,Regional Event 3,Swiss,2,AUFBAU,Ram RanchYT,SSA-P-10045,5,2021-22 Season Database - 2021-22 Season (1).csv
6854c8abbf732206934185f4b5aec2ea,20211126-180537-2021-22-Fall -Regional Event 3-Swiss-2-G2,2,2021-22,Fall,Regional Event 3,Swiss,2,DIGITAL DEVILS,Auriginal,SSA-P-10003,5,2021-22 Season Database - 2021-22 Season (1).csv
6854c8abbf732206934185f4b5aec2ea,20211126-180537-2021-22-Fall -Regional Event 3-Swiss-2-G2,2,2021-22,Fall,Regional Event 3,Swiss,2,DIGITAL DEVILS,Yujn.,SSA-P-10065,5,2021-22 Season Database - 2021-22 Season (1).csv
6854c8abbf732206934185f4b5aec2ea,20211126-180537-2021-22-Fall -Regional Event 3-Swiss-2-G2,2,2021-22,Fall,Regional Event 3,Swiss,2,DIGITAL DEVILS,Zero,SSA-P-10066,5,2021-22 Season Database - 2021-22 Season (1).csv
